#x,width,y,height
9.320652173912999,7.456521739132091,96.8482905982906,3.1517094017093967
18.641304347825997,7.456521739132093,95.64636752136752,4.353632478632477
27.961956521738994,7.456521739132089,94.15064102564102,5.849358974358978
37.282608695651994,7.456521739132086,94.52457264957265,5.475427350427353
46.603260869564984,7.4565217391321,92.86858974358974,7.131410256410263
55.92391304347799,7.456521739132093,91.90705128205128,8.092948717948715
65.24456521739098,7.456521739132086,92.65491452991454,7.345085470085465
74.56521739130399,7.456521739132086,91.26602564102564,8.733974358974365
83.88586956521698,7.456521739132086,87.15277777777777,12.847222222222229
93.20652173912997,7.456521739132086,86.48504273504274,13.51495726495726
102.52717391304296,7.456521739132114,84.4818376068376,15.518162393162399
111.84782608695598,7.456521739132086,86.99252136752136,13.007478632478637
121.16847826086897,7.456521739132114,80.07478632478632,19.925213675213683
130.48913043478197,7.456521739132086,81.00961538461539,18.990384615384613
139.80978260869495,7.456521739132114,76.25534188034189,23.744658119658112
149.13043478260798,7.456521739132086,77.67094017094017,22.32905982905983
158.45108695652095,7.456521739132086,73.69123931623932,26.30876068376068
167.77173913043396,7.456521739132086,70.4594017094017,29.540598290598297
177.09239130434693,7.456521739132114,66.13247863247864,33.86752136752136
186.41304347825994,7.456521739132114,60.9508547008547,39.0491452991453
195.73369565217294,7.456521739132086,57.7190170940171,42.2809829059829
205.05434782608592,7.456521739132114,53.33867521367522,46.66132478632478
214.37499999999892,7.456521739132114,42.94871794871795,57.05128205128205
223.69565217391195,7.456521739132086,32.53205128205127,67.46794871794873
233.01630434782496,7.456521739132057,36.912393162393165,63.087606837606835
242.33695652173793,7.456521739132086,35.202991452991455,64.79700854700855
251.65760869565094,7.456521739132086,27.51068376068376,72.48931623931624
260.97826086956394,7.456521739132086,22.88995726495726,77.11004273504274
270.2989130434769,7.456521739132143,19.36431623931624,80.63568376068376
279.6195652173899,7.456521739132143,12.580128205128204,87.4198717948718
288.94021739130295,7.456521739132029,12.873931623931625,87.12606837606837
298.26086956521596,7.456521739132029,8.974358974358978,91.02564102564102
307.5815217391289,7.456521739132086,9.054487179487182,90.94551282051282
316.9021739130419,7.456521739132143,5.662393162393158,94.33760683760684
326.2228260869549,7.456521739132086,0,100
335.5434782608679,7.456521739132086,29.059829059829056,70.94017094017094
